,Fiscal Year Period,Fiscal Year,Service,Department,Program,Fund,Category,Expense Category,Account Code,Invoice Description,Vendor,Vendor Number,Zip,Contract Number,PO Number,PO Line,Invoice Number,Invoice Line,Invoice Distribution Line,Amount,Invoice Date,Payment Method,Payment Date,Payment Number,Payment Status
15,6,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5793669,1.0,1,926198.28,12/5/16,EFT,12/28/16,460281,RECONCILED
16,10,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,40616,1.0,1,3515000.0,4/6/16,WIRE,4/29/16,1005940,NEGOTIABLE
17,6,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5793700,1.0,1,293607.94,12/5/16,EFT,12/19/16,458970,RECONCILED
18,12,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,837353,1.0,1,55346.57,6/5/20,EFT,6/26/20,604324,RECONCILED
19,1,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,061215A,1.0,1,1317166.91,6/12/15,WIRE,7/2/15,1005128,RECONCILED
20,9,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000135456S20170330,1.0,1,963940.86,3/7/17,WIRE,4/3/17,1006833,RECONCILED
21,4,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,103019A,2.0,1,22757307.0,10/30/19,WIRE,11/1/19,1102544,RECONCILED
22,2,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,082713A,1.0,1,243512.0,8/27/13,WIRE,9/3/13,1003193,RECONCILED
23,11,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,050914A,1.0,1,675000.0,5/9/14,WIRE,6/2/14,1003948,RECONCILED
24,6,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5419175,1.0,1,269615.62,11/30/15,EFT,12/28/15,428540,RECONCILED
25,3,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,90413,1.0,1,3120000.0,9/4/13,WIRE,10/1/13,1003266,RECONCILED
26,9,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,032514A,1.0,1,321547.64,3/25/14,WIRE,4/1/14,1003755,RECONCILED
27,1,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R05428,1.0,1,72969.96,7/1/19,WIRE,7/8/19,1102323,RECONCILED
28,1,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,061215A,1.0,1,958538.0,6/12/15,WIRE,7/2/15,1005128,RECONCILED
29,4,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102114A,1.0,1,14925590.37,10/21/14,WIRE,11/3/14,1004394,RECONCILED
30,5,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112116A,1.0,1,3852151.78,11/21/16,WIRE,12/1/16,1006526,RECONCILED
31,6,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5793698,1.0,1,160798.24,12/5/16,EFT,12/28/16,460279,RECONCILED
32,1,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,111764,1.0,1,847034.44,7/6/18,EFT,7/27/18,527257,RECONCILED
33,11,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,52115,1.0,1,675000.0,5/21/15,WIRE,6/1/15,1004977,RECONCILED
34,1,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072114A,1.0,1,1133333.34,7/21/14,WIRE,8/2/14,1004120,RECONCILED
35,11,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,052920A,8.0,1,47570.35,5/29/20,WIRE,6/2/20,1102953,RECONCILED
36,2,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,72718,1.0,1,2503349.41,7/27/18,WIRE,8/3/18,1101629,RECONCILED
37,6,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121913A,1.0,1,2963100.0,12/19/13,WIRE,1/1/14,1003515,RECONCILED
38,4,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102016,1.0,1,46429529.0,10/20/16,WIRE,11/1/16,1006452,RECONCILED
39,10,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,042717A,1.0,1,225000.0,4/27/17,WIRE,5/1/17,1006933,RECONCILED
40,11,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,US BANK TRUST NATIONAL ASSOCIATION,12231,55486,,,,53117,1.0,1,100000.0,5/31/17,WIRE,6/1/17,1007005,RECONCILED
41,1,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5276911,1.0,1,798051.42,6/6/15,EFT,7/28/15,416895,RECONCILED
42,11,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,51215,1.0,1,348750.0,5/12/15,WIRE,6/25/15,1005084,RECONCILED
43,6,2018,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R51841,1.0,1,68563.08,12/20/17,WIRE,1/2/18,1101055,RECONCILED
44,1,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,062618A,7.0,1,1840980.0,6/26/18,WIRE,7/2/18,1101526,RECONCILED
45,12,2014,Transportation,General Services,Administrative Services,Motor Pool,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,4868429,1.0,1,58897.76,6/5/14,EFT,7/18/14,385537,RECONCILED
46,5,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112619A,2.0,1,6900715.0,11/26/19,WIRE,12/2/19,1102591,RECONCILED
47,11,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,050914A,1.0,1,415710.28,5/9/14,WIRE,6/2/14,1003948,RECONCILED
48,3,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000135456S20140930,1.0,1,904341.02,8/29/14,WIRE,9/30/14,1004274,RECONCILED
49,1,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,62514,1.0,1,1385778.16,6/25/14,WIRE,7/1/14,1004027,RECONCILED
50,4,2017,Housing and Community Development,Permitting Services,Administration,Permitting,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5736156,1.0,1,9575.64,10/5/16,EFT,10/27/16,454341,RECONCILED
51,10,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000133662S20160430,1.0,1,1757850.99,3/30/16,WIRE,4/29/16,1005941,NEGOTIABLE
52,12,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,61917,1.0,1,811250.0,6/19/17,WIRE,6/26/17,1007073,RECONCILED
53,12,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R73922,1.0,1,45861.0,5/20/20,EFT,6/17/20,602554,RECONCILED
54,2,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,082713A,1.0,1,287423.55,8/27/13,WIRE,9/3/13,1003193,RECONCILED
55,5,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112619A,1.0,1,9276774.0,11/26/19,WIRE,12/2/19,1102591,RECONCILED
56,1,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,061215A,1.0,1,14000325.0,6/12/15,WIRE,7/2/15,1005128,RECONCILED
57,12,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5966548,1.0,1,279645.87,5/31/17,EFT,6/28/17,481432,RECONCILED
58,4,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102113A,1.0,1,9880465.0,10/21/13,WIRE,11/1/13,1003350,RECONCILED
59,12,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5613258,1.0,1,917639.01,6/6/16,EFT,6/28/16,443997,RECONCILED
60,6,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121913A,1.0,1,268706.38,12/19/13,WIRE,1/1/14,1003515,RECONCILED
61,5,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112116A,1.0,1,141650.0,11/21/16,WIRE,12/1/16,1006526,RECONCILED
62,1,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072114A,1.0,1,2618503.51,7/21/14,WIRE,8/2/14,1004120,RECONCILED
63,4,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,103019A,4.0,1,52509133.0,10/30/19,WIRE,11/1/19,1102544,RECONCILED
64,10,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,041814A,1.0,1,1120000.0,4/18/14,WIRE,5/1/14,1003842,RECONCILED
65,2,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,72718,8.0,1,532883.93,7/27/18,WIRE,8/3/18,1101629,RECONCILED
66,1,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072016A,1.0,1,291666.67,7/20/16,WIRE,8/1/16,1006186,RECONCILED
67,10,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,40616,1.0,1,155000.0,4/6/16,WIRE,4/29/16,1005940,NEGOTIABLE
68,6,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R81802,1.0,1,63175.73,11/20/19,EFT,12/26/19,583178,RECONCILED
69,11,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,050914A,1.0,1,1634289.72,5/9/14,WIRE,6/2/14,1003948,RECONCILED
70,1,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072015A,1.0,1,2618503.51,7/20/15,WIRE,7/31/15,1005198,RECONCILED
71,1,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,061215A,1.0,1,1769640.0,6/12/15,WIRE,7/2/15,1005128,RECONCILED
72,11,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,US BANK TRUST NATIONAL ASSOCIATION,12231,55486,,,,53117,1.0,1,2600000.0,5/31/17,WIRE,6/1/17,1007005,RECONCILED
73,1,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072114A,1.0,1,539829.82,7/21/14,WIRE,8/2/14,1004120,RECONCILED
74,11,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,US BANK TRUST NATIONAL ASSOCIATION,12231,55486,,,,53117,1.0,1,202825.0,5/31/17,WIRE,6/1/17,1007005,RECONCILED
75,10,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,040816A,1.0,1,1120000.0,4/8/16,WIRE,5/2/16,1005945,NEGOTIABLE
76,6,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,121819A,1.0,1,403750.0,12/18/19,WIRE,12/26/19,1102644,RECONCILED
77,11,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,US BANK TRUST NATIONAL ASSOCIATION,12231,55486,,,,53117,1.0,1,400000.0,5/31/17,WIRE,6/1/17,1007005,RECONCILED
78,4,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,101515A,1.0,1,1520292.0,10/15/15,WIRE,10/30/15,1005440,RECONCILED
79,10,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,042717A,1.0,1,1468595.4,4/27/17,WIRE,5/1/17,1006933,RECONCILED
80,1,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072015A,1.0,1,539829.82,7/20/15,WIRE,7/31/15,1005198,RECONCILED
81,4,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,103019A,9.0,1,35002.0,10/30/19,WIRE,11/1/19,1102544,RECONCILED
82,10,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,32514,1.0,1,460000.0,3/25/14,WIRE,4/15/14,1003797,RECONCILED
83,10,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,042915A,1.0,1,12480000.0,4/29/15,WIRE,5/1/15,1004882,RECONCILED
84,11,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,50114,1.0,1,2020000.0,5/1/14,WIRE,5/1/14,1003839,RECONCILED
85,1,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072016A,1.0,1,3025000.0,7/20/16,WIRE,8/1/16,1006186,RECONCILED
86,12,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5600915,1.0,1,272918.41,5/31/16,EFT,6/28/16,444000,RECONCILED
87,10,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,40815,1.0,1,3380000.0,4/8/15,WIRE,4/28/15,1004852,RECONCILED
88,9,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,032514A,1.0,1,235000.0,3/25/14,WIRE,4/1/14,1003755,RECONCILED
89,4,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,103019A,6.0,1,2402252.0,10/30/19,WIRE,11/1/19,1102544,RECONCILED
90,4,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,569407,1.0,1,629507.01,9/16/19,EFT,10/9/19,574406,RECONCILED
91,10,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,42117,1.0,1,3655000.0,4/21/17,WIRE,4/28/17,1006913,RECONCILED
92,10,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,040816A,1.0,1,2807236.01,4/8/16,WIRE,5/2/16,1005945,NEGOTIABLE
93,1,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072114A,1.0,1,808333.33,7/21/14,WIRE,8/2/14,1004120,RECONCILED
94,5,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112619A,3.0,1,536400.0,11/26/19,WIRE,12/2/19,1102591,RECONCILED
95,4,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102113A,1.0,1,1645446.0,10/21/13,WIRE,11/1/13,1003350,RECONCILED
96,12,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,61516,4.0,1,437500.0,6/15/16,WIRE,6/27/16,1006085,NEGOTIABLE
